match_id,team_a,team_b,winner,match_score,game_scores,mvp
880458881123221526,WBG,Gr,WBG,1-1,7:2 | 4:4 | 4:4 | 3:5 | 4:4,WBG_iron
880519457338818580,FPX.ZQ,GG,GG,1-1,2:7 | 5:3 | 4:4 | 4:4 | 4:4,GG_18
880561466440155159,Wolves,MRC,Wolves,3-0,7:2 | 6:2 | 4:4 | 6:2,Wolves_ChoAi
880846914232254471,WBG,MRC,MRC,1-3,6:3 | 2:7 | 3:5 | 3:5,MRC_XC
880880376339234839,Wolves,GG,,0-3,3:5 | 2:7 | 2:7,GG_xawm
881226795502796838,FPX.ZQ,MRC,MRC,1-2,4:4 | 4:4 | 3:5 | 5:3 | 2:7,MRC_XiaoD
881287513451266113,Wolves,MRC,,2-0,4:4 | 5:3 | 4:4 | 4:4 | 5:3,Wolves_487
