match_id,team_a,team_b,winner,match_score,game_scores,mvp
851891026668814342,Gr,GG,Gr,2-0,6:2 | 7:2,Gr_SuperRich
851928706153709568,MRC,ACT,MRC,2-0,8:1 | 4:4 | 6:2,MRC_HuaC
851967180471795748,WBG,Wolves,Wolves,1-1,3:6 | 5:3 | 4:4,Wolves_ChoAi
852254410730897408,FPX.ZQ,DOU5,FPX.ZQ,2-0,8:1 | 7:2,FPX.ZQ_DongX
852288779046617096,TE,Gr,Gr,0-2,2:6 | 4:4 | 2:7,Gr_Czai
852333274906755088,WBG,YS,WBG,2-1,7:2 | 2:7 | 4:4 | 5:3,WBG_Huiyi
852635636326203396,TE,ACT,TE,1-1,4:4 | 7:2 | 3:5,TE_AnYi
852671056903667714,Wolves,GG,Wolves,2-1,8:1 | 3:5 | 5:3,Wolves_guag
852705377988378664,MRC,FPX.ZQ,MRC,1-1,4:4 | 3:5 | 7:2,MRC_XiaoD
854112057087229952,YS,ACT,YS,2-0,5:3 | 8:1,YS_lion
854136804705566745,GG,DOU5,GG,2-0,7:2 | 8:1,GG_xawm
854163476424163366,TE,Wolves,Wolves,0-2,3:5 | 3:5,Wolves_ChoAi
854490392152768533,MRC,DOU5,MRC,1-0,8:1 | 5:5 | 4:4,MRC_ALi
854527208612429842,TE,GG,GG,0-1,4:4 | 4:4 | 1:8,GG_18
854551947625103412,FPX.ZQ,WBG,FPX.ZQ,2-0,6:3 | 6:3,FPX.ZQ_DongX
854850623946883124,Gr,Wolves,Gr,2-0,8:1 | 10:0,Gr_SuperRich
854886044553707520,GG,MRC,MRC,0-1,4:4 | 4:4 | 3:5,MRC_XiaoX
854919201689698307,WBG,ACT,WBG,2-1,3:5 | 8:1 | 5:3,WBG_Long
855233232532144135,Wolves,FPX.ZQ,FPX.ZQ,1-2,3:6 | 7:2 | 2:6,FPX.ZQ_DongX
855268408300666921,DOU5,TE,DOU5,2-1,3:5 | 5:3 | 6:2,DOU5_Yan
855301312055607299,Gr,YS,YS,1-1,2:7 | 4:4 | 6:3,YS_XingChen
856714816108101641,MRC,TE,MRC,2-0,6:3 | 5:3,MRC_ALi
856756249409093634,YS,FPX.ZQ,YS,1-0,5:5 | 5:3 | 5:5,YS_D
856803210569973833,DOU5,Gr,Gr,1-1,3:5 | 5:3 | 4:4 | 4:4,Gr_AK
857096067210018821,YS,TE,TE,0-1,5:5 | 4:4 | 3:5,TE_ppei
857120561405362197,WBG,DOU5,WBG,2-0,5:3 | 6:2,WBG_Alex
857144724909195271,ACT,Wolves,Wolves,0-2,1:8 | 3:5,Wolves_ChoAi
857448460710838272,GG,YS,GG,2-0,7:2 | 5:3,GG_xawm
857479882676895753,Gr,FPX.ZQ,FPX.ZQ,1-2,6:2 | 3:5 | 3:5,FPX.ZQ_ZiBi
857513215905497184,MRC,Wolves,Wolves,0-1,5:5 | 2:6 | 4:4,Wolves_ChoAi
857817879437901824,Gr,ACT,Gr,2-0,6:3 | 5:3,Gr_SuperRich
857853458950127621,FPX.ZQ,GG,FPX.ZQ,1-1,4:4 | 3:6 | 7:2,FPX.ZQ_DongX
857900978438930465,MRC,WBG,WBG,1-2,7:2 | 4:4 | 2:7 | 3:5,WBG_Long
859312064192053248,DOU5,ACT,ACT,0-2,4:4 | 2:7 | 3:5,ACT_Drop
859345058115092518,TE,WBG,TE,1-0,5:5 | 5:3 | 4:4,TE_ppei
859367293159735304,YS,Wolves,Wolves,0-2,2:7 | 2:7,Wolves_ChoAi
859674314615554069,FPX.ZQ,TE,FPX.ZQ,2-0,7:2 | 5:3,FPX.ZQ_DongX
859708326473105413,DOU5,YS,YS,0-2,2:7 | 4:4 | 3:5,YS_D
859754716400189488,MRC,Gr,Gr,1-2,5:3 | 4:4 | 3:5 | 2:7,Gr_AK
860064890338934807,WBG,GG,GG,1-1,2:7 | 7:2 | 4:4 | 4:4,GG_ppxia
860102295208067079,Wolves,DOU5,Wolves,1-0,5:5 | 4:4 | 8:1,Wolves_Lxy
860136938414276649,FPX.ZQ,ACT,ACT,1-2,2:7 | 5:3 | 2:6,ACT_yue
860428278943449152,MRC,YS,MRC,1-1,3:6 | 4:4 | 8:1,MRC_XC
860452614228148246,WBG,Gr,WBG,2-0,5:3 | 7:2,WBG_Alex
860485384829665282,ACT,GG,GG,1-1,2:7 | 4:4 | 5:3,GG_xawm
862281432762941480,WBG,MRC,MRC,0-1,3:5 | 4:4 | 4:4,MRC_Nanako
862316853371863046,TE,YS,TE,2-0,7:2 | 4:4 | 7:2,TE_ppei
862341296037036039,Gr,DOU5,Gr,2-0,7:2 | 7:2,Gr_SuperRich
862654094202896389,Wolves,YS,Wolves,1-0,5:5 | 4:4 | 6:2,Wolves_Lxy
862690751754010632,GG,WBG,GG,1-1,3:5 | 6:3 | 4:4,GG_xawm
862715752768077842,ACT,FPX.ZQ,FPX.ZQ,0-2,2:7 | 1:8,FPX.ZQ_DongX
863026137158123539,TE,DOU5,TE,2-0,6:3 | 4:4 | 5:3,TE_ppei
863061020894035992,Wolves,Gr,Wolves,2-0,5:5 | 7:2 | 7:2,Wolves_ChoAi
863098223889219600,GG,ACT,GG,1-1,6:2 | 3:5 | 4:4,GG_fulan
864880759885791300,ACT,TE,TE,0-1,2:7 | 4:4 | 4:4,TE_ppei
864917451786158105,DOU5,GG,GG,1-2,5:3 | 2:7 | 3:5,GG_xawm
864953898853466121,YS,Gr,Gr,0-2,5:5 | 2:7 | 1:8,Gr_SuperRich
865300146250842118,FPX.ZQ,MRC,FPX.ZQ,1-0,4:4 | 5:3 | 4:4,FPX.ZQ_Sxy
865338629139988562,DOU5,WBG,WBG,1-2,6:3 | 3:5 | 3:5,WBG_Alex
865622578044076036,FPX.ZQ,Gr,FPX.ZQ,1-0,6:3 | 4:4 | 4:4,FPX.ZQ_DongX
