match_id,team_a,team_b,winner,match_score,game_scores,mvp
1210376300052611081,TE,MRC,MRC,2-4,4:4 | 5:3 | 3:5 | 2:7 | 4:4 | 5:3 | 3:5 | 2:7,MRC_BaiLu
1210412459366547456,FPX.ZQ,GR,GR,0-2,4:4 | 2:7 | 4:4 | 4:4 | 2:7 | 4:4,GR_Jin
1210447970216968225,WBG,Wolves,Wolves,0-2,4:4 | 4:4 | 3:5 | 4:4 | 4:4 | 3:5,Wolves_Anx1
1210743558411124740,FPX.ZQ,MRC,FPX.ZQ,2-2,5:5 | 2:7 | 7:2 | 5:5 | 5:5 | 2:7 | 7:2 | 5:5,FPX.ZQ_DongX
1210792005648515105,ACT,GW,ACT,2-0,5:5 | 4:4 | 4:4 | 5:3 | 5:5 | 4:4 | 4:4 | 5:3,ACT_zz9
1210815597890240544,GR,DOU5,GR,4-0,6:3 | 5:3 | 6:3 | 5:3,GR_Jin
1211105207555981336,ACT,GG,ACT,4-2,5:3 | 3:6 | 6:3 | 5:3 | 3:6 | 6:3,ACT_zz9
1211140808533606435,TE,DOU5,TE,4-0,4:4 | 6:3 | 5:3 | 4:4 | 6:3 | 5:3,TE_ppei
1211165873967988755,GW,WBG,WBG,0-4,3:6 | 0:10 | 3:6 | 0:10,WBG_Nle
1212955178787930121,GW,GR,GR,0-2,5:5 | 2:7 | 4:4 | 5:5 | 2:7 | 4:4,GR_Jin
1213034786009907236,WBG,MRC,WBG,2-2,3:6 | 5:5 | 8:1 | 3:6 | 5:5 | 8:1,WBG_Nle
1213325714219073544,GG,Wolves,GG,2-0,4:4 | 5:3 | 4:4 | 4:4 | 5:3 | 4:4,GG_TKing
1213370764149915673,TE,WBG,TE,4-2,5:5 | 5:3 | 3:5 | 5:3 | 5:5 | 5:3 | 3:5 | 5:3,TE_Drop
1213404264868610071,FPX.ZQ,ACT,FPX.ZQ,2-0,7:2 | 4:4 | 4:4 | 7:2 | 4:4 | 4:4,FPX.ZQ_DongX
1213687298957246483,MRC,GR,GR,0-4,3:5 | 2:7 | 3:5 | 2:7,GR_Jin
1213720537695518726,TE,FPX.ZQ,TE,2-0,4:4 | 5:3 | 4:4 | 4:4 | 5:3 | 4:4,TE_Maom
1213742502181339161,GG,DOU5,DOU5,0-4,3:5 | 3:5 | 3:5 | 3:5,DOU5_unicorn
1215554617549520905,MRC,GW,GW,2-4,5:3 | 2:7 | 2:7 | 5:3 | 2:7 | 2:7,GW_Tear
1215588036706828293,ACT,DOU5,ACT,4-2,5:3 | 1:8 | 5:3 | 5:3 | 1:8 | 5:3,ACT_moonlight
1215622027090591763,GG,TE,GG,4-0,4:4 | 5:3 | 7:2 | 4:4 | 5:3 | 7:2,GG_YuM
1215924409979633698,FPX.ZQ,WBG,WBG,2-4,6:3 | 3:5 | 1:8 | 6:3 | 3:5 | 1:8,WBG_Nle
